"","5%","95%"
"HR_CI1vs6_lower",1.13534061469139,1.32268590102454
"HR_CI2vs6_lower",1.28992605604177,1.75092096389323
"HR_CI3vs6_lower",1.46665444091499,2.31960224384374
"HR_CI4vs6_lower",1.66888710722535,3.0752607255583
"HR_CI5vs6_lower",1.90052684618005,4.0799643796062
