"","structure.c.2.04130954960539..1.76981183033202..1.53442377976858.."
"hazard_ratio_1vs6",2.04130954960539
"hazard_ratio_2vs6",1.76981183033202
"hazard_ratio_3vs6",1.53442377976858
"hazard_ratio_4vs6",1.33034274919361
"hazard_ratio_5vs6",1.1534048505159
