"","continious_age","wealth_noIRA","sex_1_2","checklist_depression_bin"
"1 knot(s)",0.0109415457921012,-4.57846096649306e-07,NA,NA
"1 knot(s)",0.00132112820603395,3.57681960198502e-08,0,0
