"","continious_age","wealth_noIRA","sex_1_2","checklist_depression_bin"
"1 knot(s)",0.0131710633680885,-2.62690158250061e-07,NA,NA
"1 knot(s)",0.0022979155151123,6.14855585057306e-08,0,0
