"","continious_age","wealth_noIRA","sex_1_2","checklist_depression_bin"
"1 knot(s)",0.0087610500651663,-8.02645272663934e-07,NA,NA
"1 knot(s)",0.00176184948636816,6.31764753244566e-08,0,0
