"","continious_age","wealth_noIRA","sex_1_2","alcohol_days_week_new","vigarious_physical_activity_new","smokes_now_bin"
"1 knot(s)",0.00584786626547327,-3.16594912442463e-08,0,0.0212864162515845,0.0499753587883636,NA
"1 knot(s)",0.0138062889957556,2.14910285760154e-07,0.1562268788647,0.0350091872583633,0.0588804911116526,0
