"","continious_age","wealth_noIRA","sex_1_2","assessed_BMI","hypertension_new_bin"
"1 knot(s)",0.00919865113348253,2.11860460303264e-08,NA,0.0781771147425901,NA
"1 knot(s)",0.00225905677599276,3.03072181371167e-08,0,0.00264758205315375,0
