"","continious_age","wealth_noIRA","sex_1_2","assessed_BMI","hypertension_new_bin"
"1 knot(s)",0.0155421701189883,-4.75319460842248e-07,NA,0.0579727136883663,NA
"1 knot(s)",0.00301937506487081,8.57902835599384e-08,0,0.00348917691902965,0
