"","continious_age","wealth_noIRA","sex_1_2","assessed_BMI","hypertension_new_bin"
"1 knot(s)",0.0888237403897861,1.01721802132376e-06,NA,0.604627393401846,NA
"1 knot(s)",0.0261328911856636,1.21063014146776e-06,0,0.0279723751094838,0
