"","continious_age","wealth_noIRA","sex_1_2","assessed_BMI","hypertension_new_bin","checklist_depression_bin"
"1 knot(s)",0.0888237403897861,1.01721802132376e-06,NA,0.604627393401846,NA,0
"1 knot(s)",0.0270885224083344,1.23181228861009e-06,0,0.0279783575937241,0,0.621665993674677
