"","continious_age","wealth_noIRA","sex_1_2","alcohol_days_week_new","vigarious_physical_activity_new","smokes_now_bin"
"1 knot(s)",0.0085382541579107,-1.37932204202183e-07,NA,-0.155271070800036,-0.214201211804676,NA
"1 knot(s)",0.00773179003543296,1.40876337725762e-07,0,0.0297565633422372,0.0533035373868373,0
