"","continious_age","wealth_noIRA","sex_1_2","checklist_depression_bin"
"1 knot(s)",0.00521190486543849,-6.96816550088995e-08,NA,NA
"1 knot(s)",0.00254487634625402,6.31214437316429e-08,0,0
