"","continious_age","wealth_noIRA","sex_1_2","CVD"
"1 knot(s)",0.00124209201510571,-1.10491105559335e-08,-0.00793578776882956,NA
"1 knot(s)",0.00567315040857182,2.01702602219758e-07,0.121683941490192,0
