"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower","harassed",1.31240796703029,0.923192910109287,1.69265187888524
"HR_CI1vs0_lower1","less respect",1.47780423800681,1.23644256511569,1.69987473955811
"HR_CI1vs0_lower2","medical",1.86595271904047,1.32715361212676,2.59313811143478
"HR_CI1vs0_lower3","not clever",1.50158773674865,1.2727652991442,1.7690526022088
"HR_CI1vs0_lower4","poorer service",1.39160601734129,1.0821637628469,1.66338154001225
"HR_CI1vs0_lower5","afraid others",1.17618758495006,0.903687818597905,1.49979796963113
