"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower","harassed",1.45305264269186,0.984510443929683,1.9970251020349
"HR_CI1vs0_lower1","less respect",1.41817826303021,1.12046539614941,1.74205849949722
"HR_CI1vs0_lower2","medical",2.01657409822173,1.31635913513231,3.02892816761243
"HR_CI1vs0_lower3","not clever",1.66353875493217,1.389808727533,1.99984861880145
"HR_CI1vs0_lower4","poorer service",1.64356712436565,1.33767010072885,2.05362805751079
"HR_CI1vs0_lower5","afraid others",1.49217733821984,1.13561393075165,1.94905433795821
