"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower","harassed",1.34437268681409,1.01256649571231,1.71144515421215
"HR_CI1vs0_lower1","less respect",1.44535763580087,1.20658284475722,1.72177699348213
"HR_CI1vs0_lower2","medical",1.77529244101871,1.16850950341,2.44666012448117
"HR_CI1vs0_lower3","not clever",1.47122154214566,1.20977015004513,1.81208404368529
"HR_CI1vs0_lower4","poorer service",1.3444443419113,1.08919564103871,1.60248510927956
"HR_CI1vs0_lower5","afraid others",1.17817511786948,0.935117768805018,1.51763904497641
