"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower","harassed",1.64559553486933,1.22974457621021,2.29322847114799
"HR_CI1vs0_lower1","less respect",1.68761053660218,1.46253967365761,1.99279667037371
"HR_CI1vs0_lower2","medical",2.78886666802268,1.97930032246972,3.50097899108828
"HR_CI1vs0_lower3","not clever",1.8455857094294,1.63263371087801,2.22956744872462
"HR_CI1vs0_lower4","poorer service",2.09430504413027,1.70765515595833,2.59866830932737
"HR_CI1vs0_lower5","afraid others",1.69150547810927,1.25433587030956,2.08431355472121
