"","subset","variable","hazard.ratio","X5..CI","X95..CI","SE","z_value","p_value"
"1","Female model 4","harassed","1.06165152186299","0.418684943583988","1.94581656050186","0.389574392070886","2.72515736011164","0.00645206783909096"
"2","Female model 4","less respect","1.27857776058401","1.0040295796604","1.69058298390771","0.175141174552885","7.30026941893058","1.25414186969864e-12"
"3","Female model 4","medical",NA,"0.514577501005137","2.42925049132699","0.488436987327003",NA,NA
"4","Female model 4","not clever",NA,"1.13196717926963","1.86187042263156","0.186199806980084",NA,NA
"5","Female model 4","poorer service","1.68529172883245","1.11118760383079","2.56920152420292","0.371942326625543","4.5310565864399","7.58419054351982e-06"
"6","Female model 4","afraid others",NA,"0.196760961001226","0.950888498365079","0.192379473817309",NA,NA
"7","race model 4","harassed",NA,"0.89667340007245","2.06787968560911","0.298777113657311",NA,NA
"8","race model 4","less respect",NA,"0.822745962638987","1.28793287435283","0.118670130539246",NA,NA
"9","race model 4","medical",NA,"1.00945267967765","2.13260489820497","0.286518423093704",NA,NA
"10","race model 4","not clever",NA,"0.908696279890934","1.49460967346109","0.149467702441366",NA,NA
"11","race model 4","poorer service",NA,"0.8097970082611","1.4931983461759","0.174337075998673",NA,NA
"12","race model 4","afraid others",NA,"0.889901989813863","1.69916959914811","0.206445818707716",NA,NA
"13","national origin 4","harassed",NA,NA,NA,NA,NA,NA
"14","national origin 4","less respect","2.79992073047816","2.07682940253793e-07","15063211.1106522","3842655.89557449","7.28642065947871e-07","0.999999477563554"
"15","national origin 4","medical",NA,NA,NA,NA,NA,NA
"16","national origin 4","not clever",NA,"1.8938824988329e-08","24499874.6515986","6249968.02336698",NA,NA
"17","national origin 4","poorer service","3.10863548724904","1.16663706222016e-07","405.606915594282","103.471151907556","0.0300434993709782","0.978321749747017"
"18","national origin 4","afraid others",NA,"6.23420276668805e-07","292366.68486732","74583.3379761981",NA,NA
"19","religion model 4","harassed","2.26614304059518e-08","2.01370406635645e-09","8.66056997964717e-08","2.15795907474784e-08","1.05013253824565","0.297690529813276"
"20","religion model 4","less respect","4.86332113076628","0.338783749374626","27.7265042996118","6.98666340567275","0.696086364603962","0.496257172419019"
"21","religion model 4","medical",NA,"1.22536872428755e-08","3.45068772712961e-07","8.4901807517879e-08",NA,NA
"22","religion model 4","not clever",NA,"3.32200075050861e-08","18.5340765970891","4.72808075608905",NA,NA
"23","religion model 4","poorer service","1.9063776709866","6.96259975722963e-09","8.81364196168344","2.24837804967368","0.847890180774217","0.403730764689978"
"24","religion model 4","afraid others",NA,"1.83859703625355e-09","5.65639382424347e-08","1.39605462260666e-08",NA,NA
"25","BMI model 4","harassed","1.65299091793707","0.881564366430143","3.07498079467116","0.559545007204341","2.9541697212096","0.00318717260267467"
"26","BMI model 4","less respect","1.52744716814914","1.14153249151896","2.0221892481458","0.224657335874194","6.79900864223057","3.39843531195653e-11"
"27","BMI model 4","medical",NA,"0.557835736957787","2.35423775068744","0.458265819828993",NA,NA
"28","BMI model 4","not clever",NA,"1.07340865905079","1.88992415744123","0.208294769997561",NA,NA
"29","BMI model 4","poorer service","1.46796023573428","1.01268852664629","2.00227115916599","0.252444549112168","5.81498091718361","1.20287454973765e-08"
"30","BMI model 4","afraid others",NA,"0.366835719627607","1.18114966678241","0.207733149784389",NA,NA
