"","subset","variable","hazard.ratio","X5..CI","X95..CI","SE","z_value","p_value"
"1","Female model 4","harassed","1.06165152186299","0.418684943583988","1.94581656050186","0.389574392070886","2.72515736011164","0.00645206783909096"
"2","Female model 4","less respect","1.27857776058401","1.0040295796604","1.69058298390771","0.175141174552885","7.30026941893058","1.25414186969864e-12"
"3","Female model 4","medical",NA,"0.514577501005137","2.42925049132699","0.488436987327003",NA,NA
"4","Female model 4","not clever",NA,"1.13196717926963","1.86187042263156","0.186199806980084",NA,NA
"5","Female model 4","poorer service","1.68529172883245","1.11118760383079","2.56920152420292","0.371942326625543","4.5310565864399","7.58419054351982e-06"
"6","Female model 4","afraid others",NA,"0.196760961001226","0.950888498365079","0.192379473817309",NA,NA
"7","Female model 7","harassed","1.90390578662491","0.29532229524537","6.45899329753298","1.57236505160398","1.2108548105179","0.228068476873012"
"8","Female model 7","less respect","2.19519307460132","0.795320039063992","5.17431682659553","1.11709101722743","1.9650977769472","0.0490259973392523"
"9","Female model 7","medical","3.89090209570131","0.963721771609683","21.7219150733317","5.29545747492909","0.734762221039914","0.471699697770501"
"10","Female model 7","not clever","2.75613814169087","1.37725478834459","7.03899002249515","1.44432021279351","1.90825975935082","0.0559628245471176"
"11","Female model 7","poorer service","2.58605061518829","1.12657261833991","5.35624818468999","1.07899886896686","2.39671299902699","0.0164398957374311"
"12","Female model 7","afraid others","2.67708200349448","1.09414062628384","7.58606191709115","1.65610237010391","1.61649548471241","0.105815396474644"
"13","Female model 9","harassed",NA,"1.20210471225669e-07","12.0340132049535","3.06990129712832",NA,NA
"14","Female model 9","less respect","2.27353255607131","1.09158147453523","5.01671048920633","1.00130842210997","2.27056170293713","0.0229908233628259"
"15","Female model 9","medical","4.05074070247393","1.6437964363241","15.5747087575078","3.55380416356727","1.13983228001169","0.25724295835406"
"16","Female model 9","not clever","1.20144277993797","0.536885758534271","2.82662330300128","0.584116720527298","2.05685394325537","0.039371467302209"
