"","structure.c.1.21839078967315..1.48447611636037..1.80867202766325.."
"hazard_ratio_1",1.21839078967315
"hazard_ratio_2",1.48447611636037
"hazard_ratio_3",1.80867202766325
"hazard_ratio_4",2.20366934004436
"hazard_ratio_5",2.68493042739517
