"","structure.c.1.72594455147913..1.54746726728922..1.38744604586477.."
"hazard_ratio_1vs6",1.72594455147913
"hazard_ratio_2vs6",1.54746726728922
"hazard_ratio_3vs6",1.38744604586477
"hazard_ratio_4vs6",1.24397237400564
"hazard_ratio_5vs6",1.11533509494037
