"","5%","95%"
"HR_CI1vs6_lower",1.54817596372006,2.50923234218782
"HR_CI2vs6_lower",1.41419895663882,2.08728442887032
"HR_CI3vs6_lower",1.29391128469397,1.73639135863111
"HR_CI4vs6_lower",1.18569137225769,1.44457179830401
"HR_CI5vs6_lower",1.08812980255436,1.20186722040726
