"","structure.c.2.21012129955865..1.88596178314328..1.60934689339778.."
"hazard_ratio_1vs6",2.21012129955865
"hazard_ratio_2vs6",1.88596178314328
"hazard_ratio_3vs6",1.60934689339778
"hazard_ratio_4vs6",1.37330323786966
"hazard_ratio_5vs6",1.17188021481278
