"","structure.c.1.90825976729992..1.67691092896838..1.47360978409792.."
"hazard_ratio_1vs6",1.90825976729992
"hazard_ratio_2vs6",1.67691092896838
"hazard_ratio_3vs6",1.47360978409792
"hazard_ratio_4vs6",1.29495595638168
"hazard_ratio_5vs6",1.13796131585466
