"","structure.c.2.86693562915461..2.32238572592968..1.88126841954674.."
"hazard_ratio_1vs6",2.86693562915461
"hazard_ratio_2vs6",2.32238572592968
"hazard_ratio_3vs6",1.88126841954674
"hazard_ratio_4vs6",1.52393757284532
"hazard_ratio_5vs6",1.23447866439454
