"","structure.c.2.83345483818257..2.3006631475024..1.86805550840214.."
"hazard_ratio_1vs6",2.83345483818257
"hazard_ratio_2vs6",2.3006631475024
"hazard_ratio_3vs6",1.86805550840214
"hazard_ratio_4vs6",1.51679370631026
"hazard_ratio_5vs6",1.23158179034535
