"","structure.c.1.07397019533709..1.05875087739806..1.04374723363652.."
"hazard_ratio_1vs6",1.07397019533709
"hazard_ratio_2vs6",1.05875087739806
"hazard_ratio_3vs6",1.04374723363652
"hazard_ratio_4vs6",1.02895620771637
"hazard_ratio_5vs6",1.0143747866131
