"","structure.c.2.54635096027897..2.11219791388408..1.75206799730682.."
"hazard_ratio_1vs6",2.54635096027897
"hazard_ratio_2vs6",2.11219791388408
"hazard_ratio_3vs6",1.75206799730682
"hazard_ratio_4vs6",1.45334026087633
"hazard_ratio_5vs6",1.20554562786994
