"","subset_all_undj","Number_events_all","Number_risk_all","Number_censored_all","probability_for_nodiab_all","probability_SE_all","probability_lower_CI_all","probability_upper_CI_all","cumhaz_output_all","cumhaz_output_std_all"
"1","All","0","4540","2677","1","0","1","1","0","0"
"2","All","110","1863","1042","0.940955448201825","0.00580361984519771","0.930312831391455","0.951719814695474","0.059044551798175","0.00562967712383334"
"3","All","129","711","582","0.770233573633561","0.0185856208082129","0.742681038472564","0.798808273296509","0.240479150954293","0.0169374006805274"
"4","All","0","5111","3039","1","0","1","1","0","0"
"5","All","207","2072","1435","0.900096525096525","0.00731898537128843","0.887276856064726","0.913101416940079","0.0999034749034749","0.00694377151058791"
"6","All","84","430","346","0.724263715542785","0.0248628148430728","0.68981631527449","0.760431317782198","0.295252312112777","0.0224168593743244"
