"","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower",0.893751355779088,0.707022817124834,1.12541616892808
"HR_CI1vs0_lower",0.83420748902772,0.668559313341396,1.03438210774515
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.801946884123651,0.610587703781696,1.15623354920803
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",1.31162107736657,0.280228811508113,3.66667621851215
"HR_CI1vs0_lower",1.05238220528489,0.280731444966007,2.68938728819593
"HR_CI1vs0_lower",10.8410597723634,4.97936292097291e-07,54.4000097163761
"HR_CI1vs0_lower",0.682768789086013,0.147001485802176,1.91301583312832
"HR_CI1vs0_lower",0.756193441586933,0.236600943186222,2.34558066108362
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",NA,NA,NA
"HR_CI1vs0_lower",0.836020447805633,0.641950576139169,1.02612008052826
"HR_CI1vs0_lower",1.05048213583568,0.237122449950814,2.964671132311
"HR_CI1vs0_lower",0.804916119255002,0.625531157374668,1.06978597785711
"HR_CI1vs0_lower",0.751120413043342,0.211253088123068,2.29081485385573
"HR_CI1vs0_lower",NA,NA,NA
