"","X.Model_1.","subset","coef","lower_CI","upper_CI","logtest","df","p_value"
"1","Model_1","All",1.19326571983112,1.00054395717848,1.42310896778529,265.44506275282,8,9.11743623305994e-53
"2","Model_1","Female",1.36468868871034,1.09362467579981,1.7029381819059,173.084190609621,4,2.27752154456453e-36
"3","Model_1","male",0.975861385663078,0.729200945100905,1.30595750105135,80.8745595289893,4,1.13685158762811e-16
"4","Model_1","race",1.22768825773224,0.940187319474591,1.6031044313764,74.4559318925003,8,6.33867207826413e-13
"5","Model_1","BMI",1.0975427500118,0.854579104985013,1.40958289417173,101.313556546436,8,2.300200556378e-18
