"","X.Model_1.","subset","coef","lower_CI","upper_CI","logtest","df","p_value"
"1","Model_1","All",1.09976143834758,0.995372195387737,1.21509845953172,263.62730480796,8,2.21671192427589e-52
"2","Model_1","Female",1.13677820656072,0.997718436635685,1.2952198169946,169.984114064369,4,1.0540882281142e-35
"3","Model_1","male",1.05020356987073,0.899636944962997,1.22596959178305,79.6150289197612,4,2.10163007626452e-16
"4","Model_1","race",1.19247759614745,1.0071256953768,1.41194175050967,76.2483173423134,8,2.7729169136742e-13
"5","Model_1","BMI",1.06510827534649,0.924239502675234,1.22744768528921,102.306693122067,8,1.44066833206102e-18
