"","X.Model_1.","subset","coef","lower_CI","upper_CI","logtest","df","p_value"
"1","Model_1","All",1.81178279018735,1.61146469966248,2.03700203889455,348.636678051393,8,1.76962239808998e-70
"2","Model_1","Female",1.94377926854885,1.66274038029083,2.27231977380585,227.740595971325,4,4.04543921298396e-48
"3","Model_1","male",1.66661417443444,1.39526393551648,1.99073647338101,108.564955255404,4,1.47233623718917e-22
"4","Model_1","race",1.84917552870836,1.50496924452498,2.27210632271301,102.026651773876,8,1.64389538137459e-18
"5","Model_1","BMI",1.70836567535725,1.43845751368647,2.02891865277223,134.946507049448,8,2.66336359201787e-25
