"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower","harassed",0.838026051546964,0.156621695963394,2.23053174964441
"HR_CI1vs0_lower1","less respect",1.04955755712153,0.50055396324676,2.00775730625627
"HR_CI1vs0_lower2","medical",4.40656224025505,1.03558155707053e-07,32.0955186877311
"HR_CI1vs0_lower3","not clever",1.56324799099987,0.725132993206035,3.24356960207886
"HR_CI1vs0_lower4","poorer service",1.91059290903714,0.70788422525912,4.59051412253491
"HR_CI1vs0_lower5","afraid others",1.19093667139756,0.431000181750394,2.20709789355998
