"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower","harassed",0.997649577345716,0.166975132657163,3.80704760067311
"HR_CI1vs0_lower1","less respect",1.36390313334675,0.562575279382,3.12175603870988
"HR_CI1vs0_lower2","medical",1.48181968576619,8.98090915110768e-09,6.68586286536568
"HR_CI1vs0_lower3","not clever",1.59056072559654,0.599593863878313,3.91578238688225
"HR_CI1vs0_lower4","poorer service",1.24607216753492,0.285434196068254,3.80210893631525
"HR_CI1vs0_lower5","afraid others",1.2853024714913,0.3968028263776,3.12035875459145
