"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower","harassed",NA,0.89667340007245,2.06787968560911
"HR_CI1vs0_lower1","less respect",NA,0.822745962638987,1.28793287435283
"HR_CI1vs0_lower2","medical",NA,1.00945267967765,2.13260489820497
"HR_CI1vs0_lower3","not clever",NA,0.908696279890934,1.49460967346109
"HR_CI1vs0_lower4","poorer service",NA,0.8097970082611,1.4931983461759
"HR_CI1vs0_lower5","afraid others",NA,0.889901989813863,1.69916959914811
