"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower","harassed",1.40113028558498,0.980694709656307,2.05094038799579
"HR_CI1vs0_lower1","less respect",1.06835684756075,0.850155869563783,1.4042970194738
"HR_CI1vs0_lower2","medical",1.48565450883666,0.868581429707434,2.296937307505
"HR_CI1vs0_lower3","not clever",1.149191006161,0.870948515245708,1.47725847359906
"HR_CI1vs0_lower4","poorer service",1.10781490050724,0.812527360053203,1.56306709009351
"HR_CI1vs0_lower5","afraid others",1.24353983750081,0.841794194134465,1.6418588868546
