"","variable","hazard ratio","5% CI","95% CI"
"HR_CI1vs0_lower","harassed",1.34327649554122,0.922833552199946,2.09820472790935
"HR_CI1vs0_lower1","less respect",1.02899243499013,0.811135015985119,1.22482977308632
"HR_CI1vs0_lower2","medical",1.15101509884697,0.734381667188449,1.79217602529473
"HR_CI1vs0_lower3","not clever",1.1871494507935,0.919886967064244,1.49807723476336
"HR_CI1vs0_lower4","poorer service",1.05806684739244,0.73410872762991,1.38921625320537
"HR_CI1vs0_lower5","afraid others",1.12404868404041,0.782194254178599,1.6096976748406
