"","subset_all","records","n.max","n.start","events","*rmean","*se(rmean)","median","0.95LCL","0.95UCL"
"discrimination=0","All","16185","16185","16185","15101","4.94997130896216","0.0105360429035161","5","5","5"
"discrimination=1","All","16042","16042","16042","14990","5.06808172354728","0.0105887400326218","6","6","6"
