"","subset_male","records","n.max","n.start","events","*rmean","*se(rmean)","median","0.95LCL","0.95UCL"
"discrimination=0","male","6799","6799","6799","482","5.93289550919016","0.00470160039689508",NA,NA,NA
"discrimination=1","male","6120","6120","6120","443","5.948298247278","0.00434616568657974",NA,NA,NA
