"","subset_female","records","n.max","n.start","events","*rmean","*se(rmean)","median","0.95LCL","0.95UCL"
"discrimination=0","female","9385","9385","9385","8784","4.99835808709986","0.0136088307353332","5","5","6"
"discrimination=1","female","9922","9922","9922","9313","5.10195753381073","0.0133123347829502","6","6","6"
